Evolving from,Unnamed: 1,Evolving to,Item
Pikachu,→,Raichu,"Thunder Stone, outside Alola"
Pikachu,→,Raichu  Alolan Raichu,"Thunder Stone, in Alola"
Sandshrew  Alolan Sandshrew,→,Sandslash  Alolan Sandslash,Ice Stone
Nidorina,→,Nidoqueen,Moon Stone
Nidorino,→,Nidoking,Moon Stone
Clefairy,→,Clefable,Moon Stone
Vulpix,→,Ninetales,Fire Stone
Vulpix  Alolan Vulpix,→,Ninetales  Alolan Ninetales,Ice Stone
Jigglypuff,→,Wigglytuff,Moon Stone
Gloom,→,Vileplume,Leaf Stone
Gloom,→,Bellossom,Sun Stone
Growlithe,→,Arcanine,Fire Stone
Growlithe  Hisuian Growlithe,→,Arcanine  Hisuian Arcanine,Fire Stone
Poliwhirl,→,Poliwrath,Water Stone
Weepinbell,→,Victreebel,Leaf Stone
Slowpoke  Galarian Slowpoke,→,Slowbro  Galarian Slowbro,Galarica Cuff
Slowpoke  Galarian Slowpoke,→,Slowking  Galarian Slowking,Galarica Wreath
Magneton,→,Magnezone,"Thunder Stone, in Gen 8+, or level up in a Magnetic Field area"
Shellder,→,Cloyster,Water Stone
Voltorb  Hisuian Voltorb,→,Electrode  Hisuian Electrode,Leaf Stone
Exeggcute,→,Exeggutor,"Leaf Stone, outside Alola"
Exeggcute,→,Exeggutor  Alolan Exeggutor,"Leaf Stone, in Alola"
Staryu,→,Starmie,Water Stone
Scyther,→,Kleavor,Black Augurite
Eevee,→,Vaporeon,Water Stone
Eevee,→,Jolteon,Thunder Stone
Eevee,→,Flareon,Fire Stone
Eevee,→,Leafeon,"Leaf Stone, or level up near a Mossy Rock"
Eevee,→,Glaceon,"Ice Stone, or level up near an Icy Rock"
Togetic,→,Togekiss,Shiny Stone
Sunkern,→,Sunflora,Sun Stone
Murkrow,→,Honchkrow,Dusk Stone
Misdreavus,→,Mismagius,Dusk Stone
Sneasel  Hisuian Sneasel,→,Sneasler,"Razor Claw, Daytime"
Ursaring,→,Ursaluna,"Peat Block, under a full moon, in Legends: Arceus"
Lombre,→,Ludicolo,Water Stone
Nuzleaf,→,Shiftry,Leaf Stone
Kirlia,→,Gallade,"Dawn Stone, Male"
Skitty,→,Delcatty,Moon Stone
Roselia,→,Roserade,Shiny Stone
Snorunt,→,Froslass,"Dawn Stone, Female"
Pansage,→,Simisage,Leaf Stone
Pansear,→,Simisear,Fire Stone
Panpour,→,Simipour,Water Stone
Munna,→,Musharna,Moon Stone
Cottonee,→,Whimsicott,Sun Stone
Petilil,→,Lilligant,Sun Stone
Petilil,→,Lilligant  Hisuian Lilligant,"Sun Stone, in Legends: Arceus"
Darumaka  Galarian Darumaka,→,Darmanitan  Galarian Standard Mode,Ice Stone
Minccino,→,Cinccino,Shiny Stone
Eelektrik,→,Eelektross,Thunder Stone
Lampent,→,Chandelure,Dusk Stone
Floette,→,Florges,Shiny Stone
Doublade,→,Aegislash  Shield Forme,Dusk Stone
Helioptile,→,Heliolisk,Sun Stone
Charjabug,→,Vikavolt,"Thunder Stone, in Gen 8, or level up in a Magnetic Field area"
Crabrawler,→,Crabominable,"Ice Stone, or at Mount Lanakila in Alola"
Applin,→,Flapple,Tart Apple
Applin,→,Appletun,Sweet Apple
Applin,→,Dipplin,Syrupy Apple
Sinistea,→,Polteageist,Cracked Pot
Kubfu,→,Urshifu  Single Strike Style,"Scroll Of Darkness, or in Tower of Darkness in Galar"
Kubfu,→,Urshifu  Rapid Strike Style,"Scroll Of Waters, or in Tower of Water in Galar"
Capsakid,→,Scovillain,Fire Stone
Tadbulb,→,Bellibolt,Thunder Stone
Cetoddle,→,Cetitan,Ice Stone
Charcadet,→,Armarouge,Auspicious Armor
Charcadet,→,Ceruledge,Malicious Armor
Poltchageist,→,Sinistcha,Unremarkable Teacup
Duraludon,→,Archaludon,Metal Alloy
